"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ATSAM4S16CA-ANR","Microchip Technology","1611-ATSAM4S16CA-ANRCT-ND","","","Cut Tape (CT)","Active","2","3.03000","$6.06","391","27 Weeks","IC MCU 32BIT 1MB FLASH 100LQFP","ROHS3 Compliant","Lead free","REACH Unaffected"
"DM3D-SF","Hirose Electric Co Ltd","HR1941CT-ND","","","Cut Tape (CT)","Active","2","1.65000","$3.30","0","12 Weeks","CONN MICRO SD CARD PUSH-PULL","RoHS Compliant","Lead free","Not Available"
"SI2371EDS-T1-GE3","Vishay Siliconix","SI2371EDS-T1-GE3CT-ND","","","Cut Tape (CT)","Active","10","0.31600","$3.16","57370","19 Weeks","MOSFET P-CH 30V 4.8A SOT-23","ROHS3 Compliant","Lead free","Not Available"
"SF-1206SP175L-2-A9","Bourns Inc.","118-SF-1206SP175L-2-A9CT-ND","","","Cut Tape (CT)","Active","5","0.20200","$1.01","8499","20 Weeks","FUSE BOARD MNT 1.75A 63VDC 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"PAM8302AADCR","Diodes Incorporated","PAM8302AADCRDICT-ND","","","Cut Tape (CT)","Active","2","0.65000","$1.30","4154","36 Weeks","IC AMP CLASS D MONO 2.5W 8SOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"TPSB336K010R0500","AVX Corporation","478-9074-1-ND","","","Cut Tape (CT)","Active","10","0.31700","$3.17","505","33 Weeks","CAP TANT 33UF 10% 10V 1411","ROHS3 Compliant","Lead free","REACH Unaffected"
"TPSB226K016R0600","AVX Corporation","478-1758-1-ND","","","Cut Tape (CT)","Active","2","0.50000","$1.00","0","33 Weeks","CAP TANT 22UF 10% 16V 1411","ROHS3 Compliant","Lead free","REACH Unaffected"
"LDL1117S33R","STMicroelectronics","497-17239-1-ND","","","Cut Tape (CT)","Active","2","0.38000","$0.76","0","26 Weeks","IC REG LINEAR 3.3V 1.2A SOT223","ROHS3 Compliant","Not Available","REACH Unaffected"
"BZX84B3V0-7-F","Diodes Incorporated","BZX84B3V0-FDICT-ND","","","Cut Tape (CT)","Active","2","0.20000","$0.40","19778","34 Weeks","DIODE ZENER 3V 300MW SOT23","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP1700T-3002E/MB","Microchip Technology","MCP1700T-3002E/MBCT-ND","","","Cut Tape (CT)","Active","2","0.39000","$0.78","0","10 Weeks","IC REG LINEAR 3V 250MA SOT89-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"SFV30R-2STBE1HLF","Amphenol ICC (FCI)","609-5394-1-ND","","","Cut Tape (CT)","Active","1","0.64000","$0.64","10225","14 Weeks","CONN FFC TOP 30POS 0.50MM R/A","RoHS Compliant","Lead free","REACH Unaffected"
"0151660319","Molex","0151660319-ND","","","Bag","Active","2","1.97000","$3.94","438","10 Weeks","CABLE FFC 30POS 0.50MM 3""","ROHS3 Compliant","Lead free","Not Available"
